id	q_name	q_size_v	q_start_v	q_end_v	t_name_v	t_size_v	t_start_v	t_end_v	strand_v	local_identity_v	global_identity_v	cigar_v	q_size_h	q_start_h	q_end_h	t_name_h	t_size_h	t_start_h	t_end_h	strand_h	local_identity_h	global_identity_h	cigar_h	type	insert_len	read_type	pos_h	pos_v
0	SRR16230416.2207137	150	1	84	46bg-gfp	19984	10565	10648	+	1	0.56	84M66S	150	81	150	Chr4	35502694	19217323	19217392	+	0.97	0.45	80S70M	microhomology	-3	R1	19217323	10648
1	SRR16230416.5593266	150	1	49	46bg-gfp	19984	10600	10648	+	1	0.33	49M101S	150	46	150	Chr4	35502694	19217323	19217427	+	0.98	0.69	45S105M	microhomology	-3	R1	19217323	10648
2	SRR16230416.5623371	150	1	49	46bg-gfp	19984	10600	10648	+	1	0.33	49M101S	150	46	150	Chr4	35502694	19217323	19217427	+	0.94	0.66	45S105M	microhomology	-3	R1	19217323	10648
3	SRR16230416.26849276	150	59	150	46bg-gfp	19984	10557	10648	-	1	0.61	92M58S	150	1	62	Chr4	35502694	19217323	19217384	-	0.97	0.4	88S62M	microhomology	-3	R1	19217323	10648
4	SRR16230416.46439038	150	1	99	46bg-gfp	19984	10550	10648	+	1	0.66	99M51S	150	96	150	Chr4	35502694	19217323	19217377	+	0.96	0.35	95S55M	microhomology	-3	R1	19217323	10648
5	SRR16230416.47026318	150	1	61	46bg-gfp	19984	10588	10648	+	1	0.41	61M89S	150	58	150	Chr4	35502694	19217323	19217415	+	0.98	0.61	57S93M	microhomology	-3	R1	19217323	10648
6	SRR16230416.47721009	150	1	87	46bg-gfp	19984	10562	10648	+	1	0.58	87M63S	150	84	150	Chr4	35502694	19217323	19217389	+	0.97	0.43	83S67M	microhomology	-3	R1	19217323	10648
7	SRR16230416.50800191	150	1	53	46bg-gfp	19984	10596	10648	+	1	0.35	53M97S	150	50	150	Chr4	35502694	19217323	19217423	+	0.98	0.66	49S101M	microhomology	-3	R1	19217323	10648
8	SRR16230416.50800324	150	1	53	46bg-gfp	19984	10596	10648	+	1	0.35	53M97S	150	50	150	Chr4	35502694	19217323	19217423	+	0.97	0.65	49S101M	microhomology	-3	R1	19217323	10648
9	SRR16230416.2812097	150	96	150	46bg-gfp	19984	10594	10648	-	1	0.37	55M95S	150	1	99	Chr4	35502694	19217323	19217421	-	0.98	0.65	51S99M	microhomology	-3	R2	19217323	10648
